event_time_utc,currency,name,impact,forecast,actual
2025-10-15T12:30:00+00:00,USD,CPI MoM,3,,
2025-10-29T18:00:00+00:00,USD,FOMC Rate Decision,3,,
2025-10-29T18:30:00+00:00,USD,FOMC Press Conference,3,,
2025-10-30T12:30:00+00:00,USD,GDP QoQ Advance,3,,
2025-10-31T12:30:00+00:00,USD,Core PCE MoM,3,,
2025-11-07T12:30:00+00:00,USD,NFP,3,,
2025-11-07T12:30:00+00:00,USD,Unemployment Rate,3,,
2025-11-13T12:30:00+00:00,USD,CPI MoM,3,,
2025-11-19T18:00:00+00:00,USD,FOMC Meeting Minutes,3,,
2025-11-26T12:30:00+00:00,USD,Core PCE MoM,3,,
2025-12-05T12:30:00+00:00,USD,NFP,3,,
2025-12-11T12:30:00+00:00,USD,CPI MoM,3,,
2025-12-17T18:00:00+00:00,USD,FOMC Rate Decision,3,,
2025-12-18T18:30:00+00:00,USD,FOMC Press Conference,3,,
2026-01-09T12:30:00+00:00,USD,NFP,3,,
2026-01-14T12:30:00+00:00,USD,CPI MoM,3,,
2026-01-29T18:00:00+00:00,USD,FOMC Rate Decision,3,,
2026-02-06T12:30:00+00:00,USD,NFP,3,,
2026-02-11T12:30:00+00:00,USD,CPI MoM,3,,
2026-02-26T13:30:00+00:00,USD,GDP QoQ Advance,3,,
2026-03-06T12:30:00+00:00,USD,NFP,3,,
2026-03-11T12:30:00+00:00,USD,CPI MoM,3,,
2026-03-18T18:00:00+00:00,USD,FOMC Rate Decision,3,,
2026-04-03T12:30:00+00:00,USD,NFP,3,,
2026-04-09T12:30:00+00:00,USD,CPI MoM,3,,
2025-10-30T12:45:00+00:00,EUR,ECB Rate Decision,3,,
2025-12-11T13:15:00+00:00,EUR,ECB Rate Decision,3,,
2026-01-29T13:15:00+00:00,EUR,ECB Rate Decision,3,,
2026-03-12T13:15:00+00:00,EUR,ECB Rate Decision,3,,
2025-10-30T03:00:00+00:00,JPY,BoJ Rate Decision,3,,
2025-12-19T03:00:00+00:00,JPY,BoJ Rate Decision,3,,
2026-01-23T03:00:00+00:00,JPY,BoJ Rate Decision,3,,
2026-03-19T03:00:00+00:00,JPY,BoJ Rate Decision,3,,
